repayment_rate,payment_timeliness_ratio,avg_days_late,missed_payment_count,partial_payment_ratio,customer_tenure_days,num_transactions,avg_transaction_amount,credit_trend,is_january_window,is_default,archetype
0.8084,0.5,26.67,1,0.1429,161,7,21276.83,0.9455,0,0,reliable
0.2899,0.6667,16.0,4,0.0,76,7,24977.49,0.9853,0,0,moderate
1.0,0.75,12.0,0,0.0,255,4,17129.94,0.1203,0,0,reliable
0.545,0.0,21.2,4,0.1111,94,9,22709.89,0.8815,0,1,reliable
0.0,0.5,0.0,5,0.0,14,5,23836.79,0.4562,0,1,moderate
0.8225,0.1429,14.5,0,0.1429,132,7,25008.59,1.2627,0,0,reliable
1.0,1.0,0.0,0,0.0,248,4,28447.29,0.5927,0,0,reliable
0.5006,0.4,71.33,1,0.1667,194,6,14963.14,1.8723,0,0,moderate
0.8899,0.0,30.0,1,0.1,258,10,19178.66,1.0608,0,0,reliable
0.7324,0.125,28.14,2,0.1,127,10,26241.82,0.9031,0,1,reliable
0.3683,0.5,33.0,2,0.1667,62,6,18887.17,1.7574,0,1,reliable
0.6575,0.1667,70.4,3,0.1111,204,9,20763.07,0.7547,0,0,reliable
0.9843,0.3333,16.5,0,0.1667,161,6,14405.43,1.0538,0,0,reliable
0.7523,0.4,16.67,1,0.1667,176,6,18380.43,1.1537,0,0,reliable
0.8211,0.4286,19.25,2,0.1111,207,9,14533.02,0.6653,0,0,reliable
0.8538,0.0,26.33,1,0.25,121,4,20541.44,0.3853,0,0,moderate
0.7539,0.25,24.0,2,0.1,156,10,20935.79,1.298,0,0,reliable
1.0,0.875,12.0,0,0.0,268,8,25242.36,0.9933,0,0,reliable
0.3742,0.5,9.0,2,0.25,59,4,14843.06,1.9846,0,0,reliable
0.0,0.5,0.0,2,0.0,132,2,14561.09,1.0,0,1,high_risk
0.6577,0.3333,45.5,1,0.1429,194,7,25501.65,1.364,0,0,reliable
0.3765,0.5,20.0,3,0.2,254,5,19089.4,0.6182,0,1,high_risk
0.5326,0.0,52.33,3,0.1667,157,6,24725.06,0.9634,0,1,high_risk
1.0,0.75,4.0,0,0.0,128,4,22682.52,1.4796,1,0,reliable
0.379,0.0,40.67,2,0.2,103,5,23902.31,1.3774,0,1,high_risk
0.7283,0.2857,14.2,1,0.125,63,8,25891.37,1.2429,0,1,reliable
0.8801,0.0,26.5,1,0.2,277,5,17688.43,0.3899,0,1,moderate
0.1511,0.0,193.0,4,0.2,295,5,22317.19,1.5207,0,0,high_risk
0.5432,0.5,18.67,4,0.1,64,10,21115.44,1.2185,0,0,reliable
0.3571,0.0,7.0,2,0.0,145,3,8857.82,1.4186,0,0,reliable
0.2254,0.0,74.0,3,0.25,171,4,26417.93,0.9261,0,0,reliable
0.2015,0.0,37.0,6,0.1429,68,7,22772.17,0.6466,0,0,moderate
0.6642,0.5,16.0,1,0.2,164,5,18296.6,0.6824,0,0,reliable
1.0,0.0,20.5,0,0.0,125,2,11255.44,1.0,0,1,moderate
1.0,0.6,8.5,0,0.0,154,5,25989.02,1.3655,0,1,reliable
0.9691,0.125,33.29,0,0.125,209,8,21009.71,0.4746,0,1,moderate
0.0,0.5,0.0,3,0.0,8,3,15550.47,0.6634,0,0,reliable
0.0,0.5,0.0,4,0.0,34,4,25952.02,0.8481,0,0,moderate
0.3801,0.5,10.0,1,0.3333,245,3,25571.64,1.2781,0,0,reliable
0.3085,1.0,0.0,5,0.1429,23,7,20452.68,0.9574,0,1,moderate
0.0,0.5,0.0,4,0.0,23,4,18249.36,1.1521,0,0,reliable
0.7393,0.3333,24.0,2,0.125,173,8,24795.37,0.8171,0,0,reliable
0.4987,0.5,7.0,3,0.1111,33,9,25565.85,1.1424,0,0,reliable
0.7827,1.0,0.0,1,0.0,104,3,16595.59,0.6518,0,0,reliable
0.6737,1.0,0.0,1,0.0,162,5,23150.07,1.6317,0,0,reliable
0.1506,0.0,6.0,4,0.0,23,5,29986.24,1.2737,0,0,reliable
0.7005,0.3333,31.5,1,0.25,77,4,18445.17,0.9502,0,0,moderate
0.9532,0.8,2.0,0,0.2,170,5,25503.03,0.6429,0,0,reliable
0.0,0.5,0.0,2,0.0,28,2,28626.81,1.0,0,1,high_risk
0.3672,0.0,85.5,3,0.2,171,5,19146.46,0.6272,0,0,moderate
0.7072,0.6667,23.0,1,0.25,47,4,33591.53,0.865,0,1,reliable
1.0,0.7143,4.0,0,0.0,176,7,17382.99,0.622,0,0,reliable
0.7979,0.2,28.0,0,0.2,79,5,19031.17,1.0105,0,1,moderate
0.5454,0.25,17.33,2,0.1667,168,6,17962.19,0.9494,0,0,reliable
0.8835,0.3333,11.75,1,0.1429,51,7,21126.07,0.8933,0,0,reliable
0.9665,1.0,0.0,0,0.25,95,4,20259.61,0.6127,0,0,reliable
0.1036,0.5,83.0,3,0.2,194,5,20445.79,1.1431,0,0,high_risk
1.0,0.6667,10.33,0,0.0,129,9,20686.08,0.7819,0,0,reliable
0.6402,0.5,11.0,2,0.1667,120,6,18996.89,0.9257,0,0,reliable
0.879,0.5,18.0,2,0.125,77,8,19096.82,0.1631,0,0,reliable
0.0,0.5,0.0,4,0.0,74,4,20663.31,0.5985,0,1,high_risk
0.8817,0.875,13.0,1,0.0,203,9,21991.09,1.4888,0,0,reliable
0.9132,0.25,39.33,0,0.25,143,4,27276.71,1.345,0,0,reliable
0.6356,0.3333,48.0,2,0.2,164,5,17233.69,0.1416,0,1,moderate
0.0543,0.0,68.0,4,0.2,221,5,20303.06,0.7301,0,0,high_risk
0.8841,0.3333,37.5,0,0.3333,85,3,14120.83,1.0711,0,1,moderate
0.2724,1.0,0.0,1,0.5,255,2,34791.7,1.0,0,0,moderate
0.4854,1.0,0.0,1,0.0,116,3,17472.17,1.5438,0,0,reliable
0.7607,0.25,9.67,0,0.25,248,4,17523.07,1.4307,0,1,reliable
0.6582,1.0,0.0,2,0.1429,93,7,13958.55,0.3284,0,0,reliable
0.515,0.5,49.0,0,0.5,168,2,15730.89,1.0,0,1,high_risk
0.3833,0.5,14.0,4,0.1667,49,6,20743.98,0.3794,0,0,reliable
0.5408,0.4,27.0,2,0.1429,148,7,22632.47,1.1566,0,0,reliable
0.8798,1.0,0.0,1,0.0,281,6,17728.73,0.5417,0,0,reliable
1.0,0.6667,13.0,0,0.0,256,9,20233.07,0.7088,0,0,reliable
0.5371,0.5,20.0,2,0.25,86,4,16690.17,0.7577,0,0,moderate
0.8295,0.625,6.33,1,0.0,100,9,23722.98,1.2581,0,0,reliable
0.7211,0.5,24.33,1,0.1429,128,7,17262.4,1.0455,0,0,moderate
1.0,0.3333,3.5,0,0.0,116,3,29597.54,1.1556,0,0,reliable
0.5606,0.0,65.0,1,0.3333,155,3,24097.52,0.6587,0,0,reliable
0.819,0.5,20.33,1,0.1429,76,7,18851.73,1.0709,0,1,reliable
0.8375,0.5,6.0,1,0.0,206,3,16720.32,0.4875,0,0,reliable
0.5964,0.0,23.0,3,0.1429,118,7,14837.79,0.5906,0,1,moderate
0.6294,0.6667,17.0,1,0.25,99,4,24797.81,1.1108,0,0,reliable
0.8277,0.5,5.33,1,0.0,305,7,20775.91,0.7029,0,0,reliable
0.7608,0.3333,10.5,1,0.0,51,4,25128.26,0.9569,0,0,moderate
0.7334,0.0,21.75,0,0.25,285,4,21093.1,1.4546,0,0,moderate
0.7089,0.2857,19.0,2,0.1111,67,9,23421.59,0.9927,0,1,reliable
0.6823,1.0,0.0,1,0.0,176,3,24817.88,0.953,0,0,reliable
0.7325,0.0,26.4,2,0.1429,177,7,12742.51,0.8669,0,0,reliable
0.0,0.5,0.0,2,0.0,83,2,6913.84,1.0,0,1,moderate
0.4494,0.0,55.0,1,0.0,265,2,15766.53,1.0,0,1,high_risk
0.9409,0.5,12.67,1,0.0,66,7,22134.3,1.0969,0,1,reliable
0.8453,0.0,106.0,1,0.25,338,4,20597.35,0.1163,0,0,moderate
1.0,1.0,0.0,0,0.0,106,3,21692.64,0.7055,0,0,reliable
0.8416,0.75,13.5,1,0.1111,143,9,18039.75,1.1577,0,0,reliable
0.7659,0.0,23.33,1,0.25,163,4,24532.92,0.7338,0,1,moderate
0.6283,0.6667,10.0,1,0.0,196,4,25293.96,1.4869,0,0,reliable
0.6312,0.4,39.33,2,0.1429,239,7,28521.22,1.0497,0,1,moderate
0.8537,0.6667,5.0,0,0.3333,249,3,31777.47,0.8515,0,1,reliable
1.0,0.75,1.0,0,0.0,87,4,11393.56,1.4209,0,0,reliable
0.9617,0.5,19.5,0,0.25,276,4,12690.83,0.7113,0,0,reliable
0.9123,0.0,52.0,0,0.25,290,4,21281.37,1.4571,0,0,moderate
0.4762,0.75,50.0,3,0.1429,213,7,15237.39,1.167,1,0,reliable
0.2546,0.0,38.0,2,0.0,242,3,19588.39,0.9111,0,0,high_risk
0.5794,0.3333,20.0,1,0.25,302,4,21325.85,0.9686,0,0,moderate
0.9492,0.375,31.8,0,0.125,286,8,24018.76,1.0155,0,1,reliable
0.1612,0.0,116.0,2,0.3333,253,3,29970.55,0.9474,0,0,moderate
0.5501,0.6667,3.0,2,0.0,260,5,22352.76,1.6171,0,0,reliable
0.9745,0.6,16.0,1,0.0,244,6,20222.58,0.5562,0,0,reliable
0.0,0.5,0.0,4,0.0,13,4,14720.57,1.1205,0,1,high_risk
0.862,0.75,14.5,2,0.1,182,10,22310.56,0.7523,0,1,reliable
0.3164,0.3333,62.5,2,0.2,276,5,15284.89,1.764,0,0,moderate
0.4259,1.0,0.0,3,0.0,123,5,19365.59,1.4545,0,0,moderate
0.8551,0.2857,20.0,1,0.125,197,8,21840.46,0.993,0,0,reliable
0.6912,0.0,30.57,3,0.1,130,10,19578.7,1.0256,0,0,reliable
1.0,0.75,8.0,0,0.0,239,4,27007.38,0.5011,0,0,reliable
0.1732,0.0,50.0,4,0.0,85,5,10600.56,0.8696,0,1,high_risk
0.8333,0.1111,45.0,1,0.1,194,10,18804.65,1.0786,0,0,reliable
1.0,1.0,0.0,0,0.0,75,4,18463.32,1.3441,0,1,reliable
0.6362,0.5,15.5,1,0.2,88,5,19063.99,1.4098,0,0,reliable
0.8569,0.0,24.0,0,0.2,180,5,8664.97,2.4816,0,0,moderate
1.0,1.0,0.0,0,0.0,214,4,23983.16,1.095,0,1,reliable
0.5151,0.0,17.0,3,0.0,63,4,12004.95,0.3811,0,1,high_risk
0.9774,0.6667,21.67,0,0.1111,212,9,20913.34,0.7006,0,0,reliable
0.7451,0.0,14.5,0,0.5,120,2,22682.83,1.0,0,0,moderate
0.6236,0.5,38.0,2,0.1667,133,6,23064.08,0.9716,0,1,reliable
0.1111,0.0,8.0,5,0.1667,29,6,16919.43,1.6132,0,0,moderate
0.5648,0.8,4.0,2,0.1429,156,7,21177.62,1.5018,0,0,reliable
1.0,0.3333,4.5,0,0.0,116,3,21328.62,1.5233,0,0,reliable
0.5678,0.5,16.5,2,0.1667,90,6,17979.28,0.6169,0,0,moderate
0.3891,0.0,39.5,0,0.5,299,2,20421.78,1.0,0,0,moderate
0.393,0.0,89.67,4,0.1429,197,7,22639.97,0.9413,0,1,high_risk
0.7696,0.3333,15.25,1,0.1429,91,7,22249.54,1.4163,0,0,reliable
0.0,0.5,0.0,7,0.0,24,7,30498.98,1.1362,0,0,moderate
0.0,0.5,0.0,3,0.0,55,3,8092.65,0.4769,0,0,reliable
0.2874,0.0,71.5,2,0.25,157,4,23404.46,1.2565,0,1,moderate
0.0,0.5,0.0,4,0.0,69,4,9977.48,1.157,0,1,high_risk
0.1572,0.0,13.0,1,0.5,96,2,15351.08,1.0,0,0,moderate
0.6778,0.3333,98.5,1,0.1429,291,7,23535.09,1.1637,0,1,moderate
0.9568,0.5,40.5,0,0.125,296,8,18628.55,1.2364,0,1,reliable
0.6092,0.0,29.5,0,0.5,122,2,27575.24,1.0,1,1,high_risk
0.5596,0.0,39.0,3,0.1429,160,7,28155.11,0.8953,0,1,moderate
0.4277,0.0,20.0,3,0.1667,93,6,21779.67,1.193,0,0,moderate
0.3184,0.0,28.0,2,0.25,203,4,21653.58,1.3598,0,0,high_risk
0.9626,0.3333,2.0,1,0.0,171,7,19897.75,0.731,0,0,reliable
0.6837,0.5,46.0,2,0.25,388,4,20432.61,0.1878,0,1,reliable
0.5467,0.4,5.67,4,0.0,51,9,27900.74,0.9122,0,0,reliable
0.6255,0.0,18.0,1,0.25,228,4,26548.29,0.5846,0,0,reliable
0.9394,0.4,5.0,0,0.2,78,5,25012.43,0.9655,0,0,reliable
1.0,0.5,5.0,0,0.0,102,6,31206.24,1.1153,0,0,reliable
0.6438,0.1667,31.4,1,0.1429,259,7,25244.37,1.2653,0,0,reliable
0.6303,0.0,11.0,1,0.0,224,3,27946.49,1.109,0,0,moderate
0.73,1.0,0.0,1,0.0,49,3,11973.29,0.8101,0,0,reliable
0.9007,0.25,23.0,1,0.1111,219,9,19807.3,0.8428,0,0,reliable
0.2428,0.0,81.0,2,0.3333,170,3,10552.33,0.9958,0,0,high_risk
0.7148,0.8333,8.0,1,0.0,235,7,15369.32,1.1768,0,0,reliable
0.4672,1.0,0.0,7,0.0,34,10,22160.66,0.5229,0,1,reliable
0.8232,0.0,36.5,0,0.25,132,4,18432.39,0.8633,0,0,moderate
0.1865,0.0,24.0,1,0.5,88,2,23426.52,1.0,0,1,moderate
0.1615,0.0,93.0,5,0.1667,137,6,27647.74,0.8381,0,0,high_risk
0.8042,0.25,64.33,1,0.2,299,5,26339.0,0.7237,0,1,reliable
0.9384,0.375,5.6,1,0.1111,47,9,20475.11,0.9608,0,0,reliable
0.6106,0.0,17.4,2,0.1429,113,7,14812.93,1.227,0,0,moderate
0.4576,1.0,0.0,4,0.1667,45,6,19206.16,0.6367,0,1,reliable
1.0,0.6667,7.0,0,0.0,105,3,7301.28,1.0931,0,0,reliable
0.8498,1.0,0.0,1,0.0,232,3,15911.78,0.4505,0,0,reliable
0.5969,0.2,44.25,1,0.1667,319,6,25353.09,1.2094,0,0,moderate
0.7565,0.2,37.75,1,0.1667,217,6,16541.46,1.4095,0,0,reliable
0.2551,1.0,0.0,5,0.0,50,7,15253.4,1.1374,0,0,moderate
0.1754,0.0,137.0,5,0.1667,178,6,16945.67,0.6659,0,1,high_risk
0.5731,0.1667,55.8,2,0.125,134,8,25456.85,1.1166,0,0,moderate
0.6416,0.0,25.0,1,0.0,68,2,30461.19,1.0,0,1,moderate
0.3675,0.0,54.0,4,0.1429,169,7,21103.62,1.177,0,1,high_risk
0.1989,0.0,54.67,3,0.1667,156,6,14338.35,1.4458,0,1,moderate
0.8621,0.5,26.0,1,0.1111,173,9,23869.62,0.9785,1,0,reliable
0.7242,0.0,18.5,2,0.125,221,8,25174.59,1.0385,0,0,moderate
0.5486,0.5,21.0,1,0.3333,86,3,35430.34,1.0912,0,0,moderate
0.8918,0.5,21.8,0,0.1,127,10,29238.07,1.3154,0,0,reliable
0.7404,0.2,42.75,2,0.1429,334,7,23208.23,0.8507,0,0,reliable
0.0,0.5,0.0,2,0.0,217,2,25980.47,1.0,1,1,high_risk
0.8336,0.6667,14.0,1,0.0,163,4,27301.8,0.6656,0,0,reliable
